,id,title,concepts,countries_distinct_count,institutions_distinct_count,grants,keywords,open_access,primary_topic,sustainable_development_goals
0,https://openalex.org/W4391649568,Minimal information for studies of extracellular vesicles (MISEV2023): From basic to advanced approaches,"Extracellular vesicles,Extracellular vesicle,Computer science,Nanotechnology,Snapshot (computer storage),Synthetic biology,Computational biology,Vesicle,Data science,Biochemical engineering,Microvesicles,Biology,Cell biology,Engineering,Materials science,Biochemistry,microRNA,Membrane,Gene,Operating system",24,74,,"Extracellular Vesicles,Extracellular vesicles,Snapshot (computer storage),Synthetic Biology",gold,Extracellular vesicles in disease,Partnerships for the goals
1,https://openalex.org/W4393132304,A tool to assess risk of bias in non-randomized follow-up studies of exposure effects (ROBINS-E),"Randomized controlled trial,Environmental health,Environmental science,Medicine,Internal medicine",7,25,"Cancer Research UK,National Institute for Health and Care Research,National Institute of Environmental Health Sciences",,gold,"Health, Environment, Cognitive Aging",Good health and well-being
2,https://openalex.org/W4390582057,Muscle abnormalities worsen after post-exertional malaise in long COVID,"Malaise,Pathophysiology,Medicine,Coronavirus disease 2019 (COVID-19),Internal medicine,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Exertional dyspnea,Disease,Infectious disease (medical specialty)",2,5,,"Malaise,Pathophysiology,Exertional dyspnea",gold,Long-Term Effects of COVID-19,Good health and well-being
3,https://openalex.org/W4391756091,Metrics reloaded: recommendations for image analysis validation,"Computer science,Process (computing),Metric (unit),Representation (politics),Domain (mathematical analysis),Fingerprint (computing),Machine learning,Data mining,Object (grammar),Segmentation,Artificial intelligence,Convergence (economics),Selection (genetic algorithm),Image (mathematics),Algorithm,Mathematics,Mathematical analysis,Operations management,Politics,Political science,Law,Economics,Economic growth,Operating system",17,64,,Representation,bronze,Artificial Intelligence in Healthcare and Education,Partnerships for the goals
4,https://openalex.org/W4390512161,The pathophysiology of sepsis and precision-medicine-based immunotherapy,"Sepsis,Immunotherapy,Medicine,Intensive care medicine,Precision medicine,Personalized medicine,Immune system,Immunology,Pillar,Clinical trial,Bioinformatics,Internal medicine,Biology,Pathology,Structural engineering,Engineering",8,16,Horizon 2020 Framework Programme,"Personalized Medicine,Pillar",closed,Sepsis Diagnosis and Treatment,No poverty
5,https://openalex.org/W4390928581,METhodological RadiomICs Score (METRICS): a quality scoring tool for radiomics research endorsed by EuSoMII,"Radiomics,Medicine,Neuroradiology,Medical physics,Quality Score,Quality (philosophy),Interventional radiology,Radiology,Neurology,Operations management,Engineering,Metric (unit),Philosophy,Epistemology,Psychiatry",20,88,,"Neuroradiology,Quality Score,Interventional radiology",gold,Radiomics and Machine Learning in Medical Imaging,Partnerships for the goals
6,https://openalex.org/W4391629219,Addressing climate change with behavioral science: A global intervention tournament in 63 countries,"Tournament,Climate change,Intervention (counseling),Behavioural sciences,Psychology,Environmental resource management,Environmental science,Ecology,Biology,Psychotherapist,Psychiatry,Mathematics,Combinatorics",47,185,,"Tournament,Behavioural sciences",gold,Climate Change Communication and Perception,Climate action
7,https://openalex.org/W4391215091,"Automated self-optimization, intensification, and scale-up of photocatalysis in flow","Computer science,Photocatalysis,Software,Interface (matter),Flow chemistry,Scale (ratio),Process engineering,Flow (mathematics),Spectrometer,Continuous flow,Control engineering,Biochemical engineering,Engineering,Chemistry,Catalysis,Biochemistry,Physics,Quantum mechanics,Geometry,Mathematics,Bubble,Maximum bubble pressure method,Parallel computing,Programming language",1,3,,"Interface (matter),Flow chemistry",closed,Innovative Microfluidic and Catalytic Techniques Innovation,"Industry, innovation and infrastructure"
8,https://openalex.org/W4392500048,Genome-wide characterization of circulating metabolic biomarkers,"Mendelian randomization,Biology,Genome-wide association study,Computational biology,Pleiotropy,Metabolomics,Genetics,Genetic association,Bioinformatics,Gene,Phenotype,Genetic variants,Single-nucleotide polymorphism,Genotype",11,60,,"Mendelian Randomization,Genome-wide Association Study,Pleiotropy,Genetic Association",hybrid,Liver Disease Diagnosis and Treatment,Good health and well-being
9,https://openalex.org/W4399701762,ECCO Guidelines on Therapeutics in Crohn’s Disease: Medical Treatment,"Medicine,Crohn's disease,Intensive care medicine,Inflammatory bowel disease,Disease,Internal medicine",20,53,,,hybrid,Inflammatory Bowel Disease,Good health and well-being
10,https://openalex.org/W4391694595,Global guideline for the diagnosis and management of cryptococcosis: an initiative of the ECMM and ISHAM in cooperation with the ASM,"Guideline,Cryptococcosis,Medicine,Operations research,Engineering,Immunology,Pathology",23,85,"Division of Intramural Research, National Institute of Allergy and Infectious Diseases,National Institutes of Health",Guideline,green,Fungal Infections and Studies,
